,Major Account,Minor Account,Name,OrgID,amount
45,111,15,A/R - LEASE RENTALS - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
46,111,20,A/R - CASH CALLS USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
47,111,30,A/R - OTHER - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
48,111,31,HR - MISCELLANEOUS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
49,111,36,A/R ACCRUALS USD - OPERATIONS REPORTING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
50,111,40,VAT RECEIVABLE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
51,111,45,A/R - SUSPENSE USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
52,111,50,ACQUISITIONCO - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
53,111,55,A/R - ALLOWANCE FOR DOUBTFUL ACCOUNTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
54,120,5,PREPAID - INSURANCE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
55,120,10,PREPAID - SOFTWARE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
56,120,15,DEPOSIT - GENERAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
57,160,5,RISK MGMT ASSET - OIL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
58,160,6,RISK MGMT ASSET - USD OIL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
59,160,10,RISK MGMT ASSET - GAS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
60,160,15,RISK MGMT ASSET - INTEREST,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
61,160,25,RISK MGMT ASSET - FX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
62,160,35,RISK MANAGEMENT ASSET - CCIRS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
63,160,45,RISK MGMT ASSET - LIBOR CCIRS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
64,165,5,ASSETS HELD FOR SALE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
65,180,66,I/C CPRP - CPEC,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
66,180,68,I/C CPRP - CPHI,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
67,180,70,I/C CPEC - CPHI,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
68,187,5,I/C - CPRP - CPEUS MANUAL INPUT - CAD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
69,187,6,CPRP - CPEUS MANUAL INPUT - EXCALIBUR,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
70,187,7,CPRP - CPEUS MANUAL INPUT - CANADA,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
71,187,10,CPEC-CPEUS MANUAL INPUT-USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
72,187,15,CPEC - CPEUS MANUAL INPUT - CAD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
73,187,16,CPEC - CPEUS MANUAL INPUT - CAD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
74,187,20,CPEUS - CPRP - $USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
75,200,5,ACQ - INTANGIBLE (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,"-12,349.76"
76,200,10,ACQ - TANGIBLE (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
77,200,12,ACQ - SEISMIC (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
78,200,15,ACQ - MISC INTERESTS (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
79,200,20,DO NOT USE - ACQUISITION COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
80,200,25,DISP - INTANGIBLE (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
81,200,30,DISP - TANGIBLE (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
82,200,32,DISP - SEISMIC (ACCT USE ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
83,200,430,"LICENCE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
84,201,5,PP&E ASSETS HELD FOR SALE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
85,205,5,BONUS - CROWN,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
86,205,7,BONUS - FREEHOLD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
87,205,9,UNDEVELOPED LAND ACQUISITIONS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
88,205,10,UNDEVELOPED LAND DISPOSITIONS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
89,205,410,FIRST YEAR'S LEASE RENTAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
90,205,420,BROKER FEE - CROWN,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
91,205,425,BROKER FEE - FREEHOLD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
92,205,430,"LICENSE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
93,205,431,"ESTMA - LICENSE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
94,205,600,E&E LAND ALLOCATION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
95,205,998,E&E LAND TRANSFERS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
96,205,999,ACCRUAL - UNDEVELOPED LAND ACQ & DISP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
97,206,5,UNDEVELOPED LAND ASSETS HELD FOR SALE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
98,210,155,CROWN LEASE RENTALS - MINERAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
99,210,160,CROWN LEASE RENTALS - SURFACE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
100,210,165,FREEHOLD LEASE RENTALS - MINERAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
101,210,170,FREEHOLD LEASE RENTALS - SURFACE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
102,210,250,DAMAGES & EASEMENTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
103,210,280,BROKER FEES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
104,210,431,"ESTMA - LICENSE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
105,215,5,SEISMIC - DATA PROCESSING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
106,215,10,SEISMIC - DATA SALES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
107,215,15,SEISMIC - DATA PURCHASE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
108,215,20,DATA STORAGE & RETRIEVAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
109,215,45,CORING & ANALYSIS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
110,215,120,CONSULTING SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
111,215,270,ENVIRONMENTAL COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
112,215,500,GEOLOGICAL COSTS - OTHER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
113,215,510,GEOPHYSICAL COSTS - OTHER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
114,215,899,US WIP CLEAR - GEOLOGICAL & GEOPHYSICAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
115,215,950,PROVINCIAL / STATE SALES TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
116,215,955,SALES & USE TAX - DENVER COUNTY,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
117,215,999,ACCRUAL - GEOLOGICAL & GEOPHYSICAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
118,215,WCL,WIP CLEAR-GEOLOGICAL & GEOPHYSICAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
119,220,5,AB DRILLING CREDITS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
120,220,21,SURFACE CASING AND ACCESSORIES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
121,220,23,CONTRA ACCOUNT-2% OH DESIGN FEE-220,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
122,220,24,PROJECT OVERHEAD-2% ENG & DESIGN FEE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
123,220,25,ADMINISTRATIVE OVERHEAD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
124,220,30,CONDUCTOR HOLE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
125,220,35,CONSTRUCTION SUPERVISION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
126,220,45,CORING & ANALYSIS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
127,220,50,MUD SYSTEM RENTALS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
128,220,55,CAMP & SUBSISTENCE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
129,220,65,POWER TONGS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
130,220,70,RIG & CAMP MOVE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
131,220,75,CEMENTING - DRILLING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
132,220,80,SURFACE & INTERMEDIATE CASING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
133,220,81,INTERMEDIATE CASING AND ACCESSORIES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
134,220,90,WELLSITE & ROAD ACCESS CONSTRUCTION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
135,220,91,SURVEY,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
136,220,92,DAMAGE CLAIMS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
137,220,93,LEGAL/REGULATORY FEES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
138,220,95,VACUUM TRUCK,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
139,220,100,WATER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
140,220,120,CONSULTING SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
141,220,140,CONTRACT SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
142,220,150,CREW TRAVEL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
143,220,190,DRILL PIPE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
144,220,195,DRILLING - DAYWORK,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
145,220,200,DRILLING - DIRECTIONAL SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
146,220,205,DRILLING - FOOTAGE CONTRACTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
147,220,210,DRILLING BITS & REAMERS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
148,220,215,DRILLING MUD & CHEMICALS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
149,220,220,DRILLING SUPERVISION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
150,220,225,DRILLING TAXES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
151,220,230,DRILLING WASTE DISPOSAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
152,220,235,DO NOT USE -DRILLSTEM TEST,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
153,220,255,3RD PARTY ENGINEERING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
154,220,275,ENVIRONMENTAL SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
155,220,285,EQUIPMENT RENTALS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
156,220,300,FISHING TOOLS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
157,220,345,BOILER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
158,220,350,FUEL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
159,220,352,FUEL - FEDERAL EXCISE TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
160,220,355,TRUCKING & HAULING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
161,220,375,INSPECTION SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
162,220,400,INSURANCE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
163,220,425,LEASE ROAD RESTORATION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
164,220,430,"LICENCE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
165,220,431,"ESTMA - LICENSE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
166,220,432,ESTMA - INFRASTRUCTURE IMPROVEMENTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
167,220,440,LOCATION COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
168,220,445,LOGGING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
169,220,480,MISCELLANEOUS NON-OP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
170,220,560,PROJECT MANAGEMENT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
171,220,600,CARBON TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
172,220,605,SAFETY SUPPLIES & SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
173,220,650,SUNDRY LABOUR COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
174,220,655,SUPERVISION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
175,220,660,SURFACE ACQUISITION COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
176,220,735,WELLHEAD - CASING BOWL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
177,220,745,WELLSITE SUPERVISION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
178,220,755,PRODUCTION CASING & LINER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
179,220,760,PERMANENT DOWNHOLE EQUIPMENT (DRILL),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
180,220,800,CONTINGENCY,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
181,220,899,US WIP CLEAR - INTANGIBLE DRILLING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
182,220,945,ALBERTA CARBON TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
183,220,946,SASKATCHEWAN CARBON TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
184,220,950,PROVINCIAL / STATE SALES TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
185,220,951,PROVINCIAL SALES TAX (SK),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
186,220,952,PROVINCIAL SALES TAX (MB),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
187,220,955,SALES & USE TAX - DENVER COUNTY,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
188,220,956,SALES & USE TAX - NORTH DAKOTA,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
189,220,957,"SALES & USE TAX - UTAH, DUCHESNE COUNTY",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
190,220,958,"SALES & USE TAX - UTAH, UINTAH COUNTY",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
191,220,999,ACCRUAL - INTANGIBLE DRILLING & COMPLET,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
192,220,WCL,WIP CLEAR-INTANGIBLE DRILLING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
193,225,5,COILED TUBING SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
194,225,10,COMPLETION FLUIDS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
195,225,12,FLUID HEATING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
196,225,15,DAYWORK - COMPLETION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
197,225,20,PERMANENT DOWNHOLE EQUIPMENT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
198,225,23,CONTRA ACCOUNT-2% OH DESIGN FEE-225,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
199,225,24,PROJECT OVERHEAD-2% ENG & DESIGN FEE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
200,225,25,ADMINISTRATION OVERHEAD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
201,225,30,PRODUCTION CASING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
202,225,35,PRODUCTION CASING ACCESSORIES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
203,225,40,RECOVERABLE DOWNHOLE EQUIPMENT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
204,225,45,SNUBBING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
205,225,50,TREATMENT & STIMULATION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
206,225,51,FRAC COILED TUBING SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
207,225,53,DNU -TREATMENT & STIM FRAC PROP TRUCKING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
208,225,55,DO NOT USE -CAMP & SUBSISTENCE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
209,225,60,OTHER SPECIATY SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
210,225,65,POWER TONGS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
211,225,70,CEMENTING - COMPLETION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
212,225,95,VACUUM TRUCK,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
213,225,120,CONSULTING SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
214,225,145,CONTRACTORS & EQUIPMENT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
215,225,150,DO NOT USE -CREW TRAVEL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
216,225,270,DO NOT USE -ENVIRONMENTAL COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
217,225,285,EQUIPMENT RENTALS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
218,225,300,FISHING TOOLS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
219,225,320,FLUID ANALYSIS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
220,225,330,FLUID DISPOSAL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
221,225,345,BOILER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
222,225,350,FUEL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
223,225,352,FUEL - FEDERAL EXCISE TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
224,225,355,TRUCKING & HAULING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
225,225,360,CLEAN FLUID TRANSPORT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
226,225,365,FLOWBACK FLUID TRANSPORT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
227,225,370,SWAMP MATTING COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
228,225,375,INSPECTION SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
229,225,431,"ESTMA - LICENSE, PERMITS & FEES",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
230,225,432,ESTMA - INFRASTRUCTURE IMPROVEMENTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
231,225,440,LOCATION COSTS ,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
232,225,450,ELECTRIC LINE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
233,225,480,MISCELLANEOUS NON-OP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
234,225,520,PRODUCTION TESTING & AOF,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
235,225,560,DO NOT USE -PROJECT MANAGEMENT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
236,225,605,SAFETY SUPPLIES & SERVICES,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
237,225,620,SERVICE RIG,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
238,225,650,DO NOT USE -SUNDRY LABOUR COSTS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
239,225,655,SUPERVISION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
240,225,675,TESTING & ANALYSIS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
241,225,690,WELDING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
242,225,750,SLICKLINE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
243,225,800,CONTINGENCY,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
244,225,899,US WIP CLEAR - INTANGIBLE COMPLETION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
245,225,945,ALBERTA CARBON TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
246,225,950,PROVINCIAL / STATE SALES TAX,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
247,225,951,PROVINCIAL SALES TAX (SK),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
248,225,952,PROVINCIAL SALES TAX (MB),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
249,225,955,DNU -SALES & USE TAX - DENVER COUNTY,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
250,225,956,SALES & USE TAX - NORTH DAKOTA,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
251,225,957,"SALES & USE TAX - UTAH, DUCHESNE COUNTY",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
252,225,958,"SALES & USE TAX - UTAH, UINTAH COUNTY",X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
253,225,999,ACCRUAL - INTANGIBLE COMPLETION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
254,225,WCL,WIP CLEAR-INTANGIBLE COMPLETION,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
255,226,45,BOTTOM HOLE PUMP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
256,226,145,DO NOT USE -CONTRACTORS & EQUIPMENT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
